Titel;Nøgle
Personlig tillægsprocent uændret;ab-personlig-tillaegsprocent-uaendret
Opgørelsesperiode Grundbeløb 1.januar;ab-opgoerelsesperiode-grundbeloeb-1-januar
Opgørelsesperiode Grundbeløb anden dato end 1.januar;ab-opgoerelsesperiode-grundbeloeb-anden-dato-end-1-januar
Opgørelsesperiode Grundbeløb - startdato indeværende år;af-opgoerelsesperiode-grundbeloeb-startdato-indevaerende-aar
Opgørelsesperiode Pensionstillæg 1.januar;ab-opgoerelsesperiode-pensionstillaeg-1-januar
Opgørelsesperiode Pensionstillæg anden dato end 1.januar;ab-opgoerelsesperiode-pensionstillaeg-anden-dato-end-1-januar
Opgørelsesperiode Pensionstillæg - startdato indeværende år;af-opgoerelsesperiode-pensionstillaeg-startdato-indevaerende-aar
Skattefritagelse;ab-skattefritagelse
Varmetillæg omregning ventende positive effektueringer med samlet positivt resultat større end reg1;ab-varmetillaeg-omregn-ventende-pos-eff-m-samlet-pos-resultat-stoerre-end-reg1
Varmetillæg omregning ventende positive effektueringer med samlet positivt resultat mindre end reg1;ab-varmetillaeg-omregn-ventende-pos-eff-m-samlet-pos-resultat-mindre-end-reg1
Varmetillæg omregning ventende positive effektueringer med negativt resultat som annullerer reg1;ab-varmetillaeg-omregn-ventende-pos-eff-m-neg-resultat-som-annullerer-reg1
Skattepligtige bevilgede ydelser, 2. disp.dato;ab-skattepligtige-bev-ydelser-2-disp-dato
Varmetillæg Bevilling i indeværende år  ;ab-varmetillaeg-bevilling-i-indevaerende-aar
Adresse, Adresselinje 1 i efterlevelsesperioden;af-adresse-adresselinje1-i-efterlevelsesperioden
Indeværende opgørelsesperiode for GB og PT er ens;ab-indevaerende-opgoerelsesperiode-for-gb-og-pt-er-ens
Fop sats grundbeløb mdl;af-fop-sats-grundbeloeb-mdl
B16;B16
B78;B78
1322_2;1322_2
Beløb Samlet brutto før indregning;af-beloeb-samlet-brutto-foer-indregning
tMinimumsudbetalingEng;tMinimumsudbetalingEng
tMinimumsudbetaling;tMinimumsudbetaling
Pensionstillæg indregning hidtil;ab-pensionstillaeg-indregning-hidtil
Ikke længere under minimumsbeløbet;ab-ikke-laengere-under-minimumsbeloebet
Grundbeløb før indregning;af-grundbeloeb-foer-indregning
Pensionstillæg før indregning;af-pensionstillaeg-foer-indregning
Grundbeløb indregning hidtil;ab-grundbeloeb-indregning-hidtil
tafskattekorttype;tafskattekorttype
Beløb Minimumsbeløbsgrænse årlig ;af-beloeb-minimumsbeloebsgraense-aarlig
Beløb Minimumsbeløbsgrænse PT OP;af-beloeb-minimumsbeloebsgraense-pt-op
EB En PT-opgørelsesperiode og samlevende;tabEbEnPTOpgoerelsesperiodeOgSamlevende
EB En PT-opgørelsesperiode og gift;tabEbEnPTOpgoerelsesperiodeOgGift
EB Flere PT-opgørelsesperioder;tabEbFlerePTOpgoerelsesperioder
EB Flere PT-opgørelsesperioder, samlevers navn ukendt;tabEbFlerePTOpgoerelsesperioderSamleversNavnUkendt
tEngangsbeloeb;tEngangsbeloeb
tEngangsbeloeb_1;tEngangsbeloeb_1
Ikke overført uudnyttet bundfradrag pga. manglende reaktion ;tabIkkeOverfoertUudnyttetBundfradragPgaManglendeReaktion
Ikke overført bundfradrag pga. manglende reaktion og udnyttet;tabIkkeOverfoertBundfradragPgaManglendeReaktionOgUdnyttet
Ikke overført bundfradrag pga. udnyttet iflg. KR;tabIkkeOverfoertBundfradragPgaUdnyttetIflgKr
Ikke overført bundfradrag pga. udnyttet iflg. borger ;tabIkkeOverfoertBundfradragPgaUdnyttetIflgBorger
Uudnyttet bundfradrag overført pga. uudnyttet iflg. KR;tabUudnyttetBundfradragOverfoertPgaUudnyttetIflgKr
Uudnyttet bundfradrag overført pga. uudnyttet iflg. borger ;tabUudnyttetBundfradragOverfoertPgaUudnyttetIflgBorger
Ophør udskudt efter 10 år;af-ophoer-udskudt-efter-10-aar
Opgørelsesperiode – Startdato overførsel bundfradrag ;tafOpgoerelsesperiodeStartdatoOverfoerselBundfradrag
Opgørelsesperiode – Slutdato overførsel bundfradrag;tafOpgoerelsesperiodeSlutdatoOverfoerselBundfradrag
Bundfradrag FOP inkl. uudnyttet overført ;tafBundfradragFOPInklUudnyttetOverfoert
Overført uudnyttet bundfradrag i efterreguleringen ;tabOverfoertUudnyttetBundfradragIEfterreguleringen
Slutdato - Seneste godkendte periode;af-slutdato-seneste-godkendte-periode
Borger har ret til pensionstillæg;ab-borger-har-ret-til-pensionstillaeg
Kun pensionstillæg reguleres;ab-kun-pensionstillaeg-reguleres
Kun grundbeløb reguleres;ab-kun-grundbeloeb-reguleres
Både grundbeløb og pensionstillæg reguleres;ab-baade-grundbeloeb-og-pensionstillaeg-reguleres
Grundbeløb henstår;ab-grundbeloeb-henstaar
Pensionstillæg henstår;ab-pensionstillaeg-henstaar
Ændring henstår ikke kun;ab-aendring-henstaar-ikke-kun
EFR Ikke berettiget til pension, da under minimumsbeløbet;ab-efr-ikke-berettiget-til-pension-da-under-minimumsbeloebet
EFR Ikke berettiget til pension, da under minimumsbeløbet, flere pensionstyper;tabEfrIkkeBerettigetTilPensionDaUnderMinimumsbeloebetFlerePensionstyper
EFR Beløb Minimumsbeløbsgrænse årlig ;af-efr-beloeb-minimumsbeloebsgraense-aarlig
EFR Opgørelsesperiode helårlig ;ab-efr-opgoerelsesperiode-helaarlig
tMinimumsudbetalingEFR ;tMinimumsudbetalingEFR 
tMinimumsudbetalingEFR_1;tMinimumsudbetalingEFR_1
AB BV2 er ikke tom;ab-bv2-er-ikke-tom
Adresse-Modtager ;Adresse-Modtager
Dato Skilsmisse;af-dato-skilsmisse
Gl FØP - S eller O samliv før ægteskab ;ab-gl-foep-s-eller-o-samliv-foer-aegteskab
Samlevende med enlig og uens OP;ab-samlevende-med-enlig-og-uens-op
Bundfradrag FOP forrige periode;af-fop-forrige-periode
Manuel tillægsprocent;ab-manuel-tillaegsprocent
Personlig tillægsprocent beregnes;tabPersonligTillaegsprocentBeregnes
Personlig tillægsprocent Indledning, vises kun første gang pr. kalenderår;tabPersonligTillaegsprocentIndledningVisesKunFoersteGangPrKalenderaar
TAdresse, Adresselinje 1 i efterlevelsesperioden;tafAdresselinjeEtEfterlevelsesperioden
TCorona-fradrag pensionist højere end indtægt;tabCoronaFradragPensionistHoejereEndIndtaegt
TCorona-fradrag samlever højere end indtægt;tabCoronaFradragSamleverHoejereEndIndtaegt
Corona-relateret arbejdsindkomst;ab-corona-relateret-arbejdsindkomst
TCorona-relateret-arbejdsindkomst;tabCoronaRelateretArbejdsindkomst
MF - Der er gældende manuel tillægsprocent på sagen. Korriger beregning af tillægsprocenten, så det svarer til den gældende tillægsprocent og slet denne tekst;mf-der-er-gaeldende-manuel-tillaegsprocent-paa-sagen-korriger-beregning-af-tillaegsprocenten
Flere PT end GB-opgørelsesperioder;tabFlerePtEndGbOpgoerelsesperioder
MF - Der er manuel brøk på sagen. Tilføj udbetalingsoplysninger for den første måned med ny brøk og slet denne tekst;mf-der-er-manuel-broek-paa-sagen-tilfoej-udbetaling-med-broek
Indregning kan ikke indeholdes i brøkperiode;ab-indregning-kan-ikke-indeholdes-i-broekperiode
Varmeperiode Startdato - Seneste plus 1;af-varmeperiode-startdato-seneste-plus-1
Varmeperiode Slutdato - Seneste plus 1;af-varmeperiode-slutdato-seneste-plus-1
Flere opgørelsesperioder;ab-flere-opg-perioder
En opgørelsesperiode;  ab-en-opg-periode    
MF - Indregning indeholdes ikke i brøkperiode - foretag sagsbehandling og slet denne tekst;mf-indregning-indeholdes-ikke-i-broekperiode
Livsvarig ventetillæg brutto mdl;"tafLivsvarigVentetillaegBruttoMdl	"
10 årig ventetillæg pensionstillæg tidligere periode;taf10aarigVentetillaegPensionstillaegTidligerePeriode
10 årig ventetillæg hele pension tidligere periode;taf10aarigVentetillaegHelePensionenTidligerePeriode
10-årig ventetillæg hele pensionen seneste periode;taf10aarigVentetillaegHelePensionenSenestePeriode
10 årig ventetillæg pensionstillæg seneste periode;taf10aarigVentetillaegPensionstillaegSenestePeriode
tB14LivsvarigtVentetillaeg;tB14LivsvarigtVentetillaeg
tB14LivsvarigtVentetillaeg_1;tB14LivsvarigtVentetillaeg_1
tB1410AarigtVentetillaeg_1;tB1410AarigtVentetillaeg_1
tB1410AarigtVentetillaeg;tB1410AarigtVentetillaeg
tB14LivsvarigtVentetillaegFoer010718;tB14LivsvarigtVentetillaegFoer010718
tB14LivsvarigtVentetillaegFoer010718_1;tB14LivsvarigtVentetillaegFoer010718_1
porSkattepligtBevYdelser;porSkattepligtBevYdelser
porSkattepligtBevYdelserReg;porSkattepligtBevYdelserReg
Ventetillæg til GB og PT beregnes, Indledning, vises kun første gang pr. kalenderår;tabVentetillaegTilGbOgPtBeregnesIndledningVisesKunFoersteGangPrKalenderaar
Ventetillæg til grundbeløb beregnes;tabVentetillaegTilGrundbeloebBeregnes
Kun ventetillæg til GB beregnes;tabKunVentetillaegTilGbBeregnes
Udskudt – Livsvarig ventetillæg grundbeløb brutto mdl;tafUdskudtLivsvarigVentetillaegGrundbeloebBruttoMdl
Udskudt – 10 årig Ventetillæg hele pensionen, grundbeløb seneste periode;tafUdskudt10VentetillaegHelePensionenGrundbeloebSenestePeriode
Udskudt – 10 årig Ventetillæg hele pensionen, grundbeløb tidligere periode ;tafUdskudt10VentetillaegHelePensionenGrundbeloebTidligerePeriode
Ventetillæg til pensionstillæg beregnes;tabVentetillaegTilPensionstillaegBeregnes
Kun ventetillæg til PT beregnes;tabKunVentetillaegTilPtBeregnes
Udskudt – Livsvarig ventetillæg pensionstillæg brutto mdl ;tafUdskudtLivsvarigVentetillaegPensionstillaegBruttoMdl
Udskudt – 10 årig Ventetillæg hele pensionen, pensionstillæg seneste periode ;tafUdskudt10VentetillaegHelePensionenPensionstillaegSenestePeriode
Udskudt – 10 årig Ventetillæg hele pensionen, pensionstillæg tidligere periode ;tafUdskudt10VentetillaegHelePensionenPensionstillaegTidligerePeriode
Opgørelsesperiode Pensionstillæg - Startdato maio-omregning;af-opgoerelsesperiode-pensionstillaeg-startdato-maio-omregning
Opgørelsesperiode Grundbeløb - Startdato maio-omregning;af-opgoerelsesperiode-grundbeloeb-startdato-maio-omregning
Ventetillæg PT;ab-ventetillaeg-pt
Ventetillæg GB  ;ab-ventetillaeg-gb
Alle omregnede ydelser har startdato 1.januar;ab-alle-omregnede-ydelser-har-startdato-1-januar
Alle omregnede ydelser har startdato anden dato end 1.januar;ab-alle-omregnede-ydelser-har-startdato-anden-dato-end-1-januar
Flere ydelser med uens startdato omregnes og mindst en har startdato 1.januar;ab-flere-ydelser-med-uens-startdato-omregnes-og-mindst-en-har-startdato-1-januar
ATP mdl brøkændring;af-ATP-mdl-broekaendring
SUPP mdl brøkændring;af-SUPP-mdl-broekaendring
ATP disp dato brøkændring og tilmeldt atp;ab-atp-disp-dato-broekaendring-og-tilmeldt-atp
SUPP disp dato brøkændring og tilmeldt supp;ab-supp-disp-dato-broekaendring-og-tilmeldt-supp
aftalenr debitor brøkændring;af-aftalenr-debitor-broekaendring
Lavere samlet indkomstgrundlag for alle opgørelsesperioder ;ab-lavere-samlet-indkomstgrundlag-for-alle-opgoerelsesperioder
Højere samlet indkomstgrundlag for alle opgørelsesperioder ;ab-hoejere-samlet-indkomstgrundlag-for-alle-opg-perioder
Efterregulering – En opgørelsesperiode ;ab-efterregulering-en-opgoerelsesperiode
Tdel af kalenderår;tabDelAfKalenderaar
EFR Udskudt – Livsvarig ventetillæg grundbeløb brutto periode;tafEfrUdskudtLivsvarigVentetillaegGrundbeloebBruttoPeriode
EFR Udskudt – Livsvarig ventetillæg pensionstillæg brutto periode;tafEfrUdskudtLivsvarigVentetillaegPensionstillaegBruttoPeriode
EFR Udskudt – 10 årig Ventetillæg hele pensionen, grundbeløb, tidligere periode, for opgørelsesperioden brutto ;tafEfrUds10AarigVentetillHelePensGrundbeloebTidlPeriodeForOpgPeriodenBrutto
EFR Udskudt – 10 årig Ventetillæg hele pensionen, pensionstillæg, tidligere periode, for opgørelsesperioden brutto;tafEfrUds10AarigVentetillHelePensPensionstillaegTidlPeriodeForOpgPeriodenBrutto
EFR Udskudt – 10 årig Ventetillæg hele pensionen, grundbeløb, seneste periode, for opgørelsesperioden brutto ;tafEfrUds10AarigVentetillHelePensGrundbeloebSenestePeriodeForOpgPeriodeBrutto
EFR Udskudt – 10 årig Ventetillæg hele pensionen, pensionstillæg, seneste periode, for opgørelsesperioden brutto ;tafEfrUds10AarigVentetillHelePensPensionstillaegSenestePeriodeForOpgPeriodeBrutto
Opgørelsesperiode Startdato;af-opgoerelsesperiode-startdato
Opgørelsesperiode - Slutdato forrige - Indeværende år;af-opgoerelsesperiode-slutdato-forrige-indevaerende-aar
Ændring i samlevers pensionsstatus har virkning fra tidl. OP;ab-aendring-i-samlevers-pensionsstatus-har-virkning-fra-tidl-op
Virkningsdato Ændring i samlevers pensionsstatus;af-virkningsdato-aendring-i-samlevers-pensionsstatus
Dødsfald - Krav skattepligtige bevilgede ydelser afdød;ab-doedsfald-krav-skattepligtige-bevilgede-ydelser-afdoed
AF – Pensionstype Art næste år;af-pensionstype-art-naeste-aar
Pensionstype Art næste år - ENG;af-pensionstype-art-naeste-aar-eng
B211;B211
B212;B212
B275;B275
b212b;b212b
Ventetillæg beregnes til både GB og PT for 2022;ab-ventetillaeg-beregnes-til-baade-gb-og-pt-for-2022
Samlever overgår til folkepension;ab-samlever-overgaar-til-folkepension
Samlever overgår til udskudt pension;ab-samlever-overg-til-udskudt-pension
Samlever flyttet til udlandet uden ret til pension;ab-samlever-flyttet-til-udlandet-uden-ret-til-pension
Samlevers pension sat i bero;ab-samlevers-pension-sat-i-bero
Samlevers pension genoptaget efter udl.ophold uden pensionsret;ab-samlever-pension-genoptaget-udl-ophold-uden-pensionsret
Samlevers pension stoppet;ab-samlevers-pension-stoppet
Samlevers pension genoptaget efter stop;ab-samlevers-pension-genoptaget-efter-stop
Samlevers pension genoptaget efter berostilling;ab-samlevers-pension-genoptaget-efter-berostilling
AB – Udbetaling trods fortsat under min. og ingen ændring;ab-udbetaling-trods-fortsat-under-min-og-ingen-aendring
Skriv brutto og nettoudbetaling;mf-skriv-brutto-og-nettoudbetaling
Tilføj evt yderligere forklaring;mf-tilfoej-evt-yderligere-forklaring
tEfterlevelsespensionTip;tEfterlevelsespensionTip
TSkattefri Efterlevelsespension;tabskattefriEfterlevelsespension
bopælstid 15 år til TIP bevilling;af-bopaelstid-15-aar-til-tip-bevilling
TIP efterlevelsespension FOP;ab-tip-efterlevelsespension-fop
TIP efterlevelsespension Gl.FØP;ab-tip-efterlevelsespension-glfoep
Der udbetales TIP efterlevelsespension;ab-der-udbetales-tip-efterlevelsespension
Pensionstype TIP;ab-pensionstype-tip
Samlever TIPer;ab-samlever-tiper
Dato Forkert afgørelsesbrev om 2022-beregning;af-dato-forkert-afgoerelsesbrev-om-2022-beregning
Brevoverskrift Forkert afgørelsesbrev om 2022-beregning;af-brevoverskrift-forkert-afgoerelsesbrev-om-2022-beregning
tEfterlevelsespensionTip_Eng;tEfterlevelsespensionTip_Eng
Samlever tilkendt TIP;ab-samlever-tilkendt-tip
Dato - bevilling - TIP - samlever;af-dato-bevilling-tip-samlever
Overgang TIP til FOP i efterlevelsesperioden;ab-overgang-tip-til-fop-i-efterlevelsesperioden
TEfterlevelsespension på TIP-sag;tabEfterlevelsespensionPaaTipSag
TSamlever TIPer;tabSamleverTiper
TEB Samlever TIPer;tabEbSamleverTiper
Bevilling af FØP/SEP/FOP i fremtidig OP;ab-bevilling-af-foep-sep-fop-i-fremtidig-OP
Overgang TIP til FOP efter årsskiftet;ab-overgang-tip-til-fop-efter-aarsskiftet
Dato Skilsmisse Virkning;af-dato-skilsmisse-virkning
tb330_b330;tb330_b330
tb330_b330_eng;tb330_b330_eng
MB - Gives der kun afslag på FOP? (konv. ell. øvrigt land);mb-gives-der-kun-afslag-paa-fop
MB - Gives der afslag på FOP og ansøgning skal behandles af TIP? (EU, EØS eller Schweiz);mb-gives-der-afslag-paa-fop-og-ans-beh-af-tip
MB - Gives der afslag på både FOP og TIP? (EU, EØS eller Schweiz);mb-gives-der-afslag-paa-baade-fop-og-tip
MF - Skriv alder for hvornår der kan søges tidlig pension;mf-skriv-tip-ansoegningsalder
MF - Skriv 7, hvis borger er født 1963-1964, 1967-1968, ellers skriv 6;mf-skriv-7-eller-6
MF - Skriv dato for rettens beslutning om anholdelse;mf-skriv-dato-for-rettens-beslutning-om-anholdelse
MF - Skriv datoen 12 uger fra anholdelsesbeslutningen;mf-skriv-datoen-12-uger-fra-anholdelsesbeslutningen
MF - Skriv nummer på hvilken bestemmelse der anvendes;mf-skriv-nummer-paa-hvilken-bestemmelse-der-anvendes
TEFR - Overførsel af negativ kapitalindkomst imellem samlevere;tabOvfNegativKapIndkomstSaml
Overførsel af negativ kapitalindkomst imellem samlevere;ab-ovf-negativ-kap-indkomst-saml
MF - Skriv slutdato for periode hvor pensionen ikke er nedsat;mf-skriv-slutdato-for-periode-hvor-pensionen-ikke-er-nedsat
MF - Indsæt beregningsskema;mf-indsaet-beregningsskema
MF - Skriv begrundelsen for hvilken bestemmelse der anvendes;mf-skriv-begrundelsen-for-hvilken-bestemmelse-der-anvendes
MF - Skema for beregning af udbetalingerne for de 12 uger;mf-skema-for-beregning-af-udbetalingerne-for-de-12-uger
Udskudt 10 Årig venteprocent pensionstillæg tidligere periode;taf10aarigVenteprocentPensionstillaegTidligerePeriode
Borger bor ikke i et EU/EØS-land eller Schweiz;ab-borger-bor-ikke-i-et-eu-eoes-land-eller-schweiz
Borger er samlevende og bor i EU/EØS/CH;ab-borger-er-samlev-og-bor-i-EU-EOES-CH
Fremtidig opgørelsesperiode ;ab-fremtidig-opgoerelsesperiode 
Efterlevelsespension på TIP-sag;ab-efterlevelsespension-paa-tip-sag
Borger er flyttet udenfor EU/EØS;ab-borger-er-flyttet-udenfor-eu-eeos
Borger bor i et EU/EØS-land eller Schweiz;tabBorgerBorIEtEUEOESLandEllerSchweiz
Borger er enlig og bor i EU/EØS eller Schweiz;tabBorgerErEnligOgBorIEuEoesCh
Borger er samlever og bor I EU/EØS-land eller Schwiez;tabBorgerSamlevendeBorIEUEOESCH
TOpgperiode varmetillæg anden dato end 11;tabOpgperiodeVarmetillaegAndenDatoEnd11
TOpgperiode varmetillæg anden dato end 3112;tabOpgperiodeVarmetillaegSlutterIkke3112
Overgang til FOP 1.1 ;ab-overgang-til-fop-1-1
Samlever ingen ny OP ;ab-samlever-ingen-ny-op
Samlevers indkomst uændret;ab-samlevers-indkomst-uaendret
Samlevers indkomst ændret;ab-samlevers-indkomst-aendret
Begges indkomst ændret;ab-begges-indkomstaendret
b1_1;b1_1
porSkattepligtigeBevilgedeYdelserBevTilb;porSkattepligtigeBevilgedeYdelserBevTilb
Brøkpension 1. udskudte periode;ab-broekpens-1-udskudt-periode
Januar 2022 korrigeres;ab-januar-2022-korrigeres
Kun tillægsprocent ændret i Genberegn ydelse 2022;ab-kun-tillaegsprocent-aendret-i-genberegn-ydelse-2022
Fremtidig opgørelsesperiode efter januar 2022 korrigeres;ab-fremtidig-opgoerelsesperiode-efter-januar-2022-korrigeres
Fremtidig opgørelsesperiode efter januar 2022 korrigeres, kun PT;ab-fremtidig-opgoerelsesperiode-efter-januar-2022-korrigeres-kun-pt
Opgørelsesperiode startdato for fejlbehæftet ydelse i 2022;af-opgoerelsesperiode-startdato-for-fejlbehaeftet-ydelse-i-2022
Bevilling mediecheck i AIO;ab-bevilling-mediecheck-i-aio
Afslag mediecheck i AIO;ab-afslag-mediecheck-i-aio
Mediecheck nævnt i AIO forrige år;ab-mediecheck-naevnt-i-aio-forrige-aar
Bevilling mediecheck i AIO forrige år;ab-bevilling-mediecheck-i-aio-forrige-aar
afslag mediecheck i AIO forrige år;ab-afslag-mediecheck-i-aio-forrige-aar
Dato seneste afgørelse tillægsprocent;af-dato-seneste-afgoerelse-tillaegsprocent
Mediecheck næste år, udbetales disp.dato1 næste år;ab-mediecheck-naeste-aar-udbetales-disp-dato1-naeste-aar
Mediecheck næste år udbetales disp.dato2 næste år;ab-mediecheck-naeste-aar-udbetales-disp-dato2-naeste-aar
Mediecheck disp.dato1;ab-mediecheck-disp-dato1
Mediecheck disp.dato2;ab-mediecheck-disp-dato2
Mediecheck brutto;af-mediecheck-brutto
Ekstra måneds pension i OP, bevilget efter 2021 ;tabEkstraMaanedsPensionIOpBevilgetEfter2021
EFR Ekstra måneds pension i OP, bevilget efter 2021;tabEfrEkstraMaanedsPensionIOpBevilgetEfter2021
Beløb EFR Ekstra måned pensionstillæg;tafBeloebEfrEkstraMaanedPensionstillaeg
Beløb EFR Ekstra måned grundbeløb;tafBeloebEfrEkstraMaanedGrundbeloeb
Beløb EFR Ekstra måned ventetillæg til grundbeløb;tafBeloebEfrEkstraMaanedVentetillaegTilGrundbeloeb
Beløb EFR Ekstra måned ventetillæg til pensionstillæg;tafBeloebEfrEkstraMaanedVentetillaegTilPensionstillaeg
Beløb EFR Ekstra måned FØP/SEP;tafBeloebEfrEkstraMaanedFoepSep
If Betingelse EFR Ekstra måneds pension bevilget før 2022 ;tabEfrEkstraMaanedsPensionIOpBevilgetFoer2022
EFR Ekstra måneds pension i periode m pensionstype, bevilget efter 2021;tabEfrEkstraMaanedsPensionIPeriodeMPensionstypeBevilgetEfter2021
EFR Ekstra måneds pension i periode m pensionstype, bevilget efter 2021;ab-efr-ekstra-maaneds-pension-i-periode-m-pensionstype-bevilget-efter-2021
